title,status,id,layout,client,year,sector,description,brief,solution,services,awards,quotes,link,main_image,images
Fashion Inspired Cases for iPhone,active,jame_technology__fashion_cases_iphone,project,Jame Technology,2017-2018,"Consumer electronics, mobile accessories",Fashion-inspired protective iPhone cases for various target audiences.,Our client wanted a variety of trend-inspired fashion and rugged cases designed for the upcoming Apple iPhone.,"These cases offer varying visual levels of ruggedness, catering to different target audiences, including urban professionals, sports enthusiasts, and military-style aficionados, providing them with a protective yet fashionable identity that resonates with their aesthetic preferences.","[design research, ideation, user-centered design, 3D CAD modeling, photorealistic rendering, design presentation]",,,http://www.jamepda.com,/assets/images/projects/jame_technology__fashion_cases_iphone/h_w_Fashion cases for iPhone.jpg,"[/assets/images/projects/jame_technology__fashion_cases_iphone/p_w_Fashion cases for iPhone_01.jpg, /assets/images/projects/jame_technology__fashion_cases_iphone/p_w_Fashion cases for iPhone_02.jpg, /assets/images/projects/jame_technology__fashion_cases_iphone/p_w_Fashion cases for iPhone_03.jpg, /assets/images/projects/jame_technology__fashion_cases_iphone/p_w_Fashion cases for iPhone_04.jpg, /assets/images/projects/jame_technology__fashion_cases_iphone/p_w_Fashion cases for iPhone_05.jpg]"
Fashion Inspired Cases for Samsung,active,jame_technology__fashion_cases_samsung,project,Jame Technology,2017,"Consumer electronics, mobile accessories",Fashion-inspired mobile phone cases.,Our client wanted trend-inspired fashion cases for the latest Samsung mobile phone.,"These case designs are influenced by the Fall 2017 fashion trends, skillfully mixing and morphing patterns to craft a captivating, made-up reality. The intricate patterns give rise to new layered forms and unique, morphed animal prints, perfectly aligning with current fashion.","[design research, ideation, user-centered design, 3D CAD modeling, photorealistic rendering, design presentation]",,,http://www.jamepda.com,/assets/images/projects/jame_technology__fashion_cases_samsung/h_w_Fashion cases for Samsung.jpg,"[/assets/images/projects/jame_technology__fashion_cases_samsung/p_w_Fashion cases for Samsung_01.jpg, /assets/images/projects/jame_technology__fashion_cases_samsung/p_w_Fashion cases for Samsung_02.jpg]"
Invisible Protection: an Innovative iPhone Case with a Protective Frame,active,jame_technology__invisible_protection_case_iphone,project,Jame Technology,2018,"Consumer electronics, mobile accessories","Slim, stylish and inexpensive (to produce), this iPhone case with a unique frame design ensures maximum protection for the most fragile part of the iPhone.","The client wanted a unique, patentable, budget-friendly, slim yet rugged case for the latest iPhone.","Our initial research found that the iPhone's most breakable area lies at the edges of its glass. Many rugged cases available on the market suffer from bulkiness due to multiple parts or use costly specialized materials to offer all-around protection, but we designed an innovative protective case using only one material, featuring an ""air bubble"" around the edge of the glass. Our design redirects impact away from the most fragile points, dispersing it towards the firmer areas of the phone and through the triangular pattern on the back for enhanced protection. This creates a hidden but very powerful protection for the phone.","[design research, ideation, innovation, 3D CAD modeling, surfacing, color, material, finish selection (CMF), design presentation]",,,http://www.jamepda.com,/assets/images/projects/jame_technology__invisible_protection_case_iphone/h_w_Invisible protection.jpg,"[/assets/images/projects/jame_technology__invisible_protection_case_iphone/p_w_Invisible protection_01.jpg, /assets/images/projects/jame_technology__invisible_protection_case_iphone/p_w_Invisible protection_02.jpg, /assets/images/projects/jame_technology__invisible_protection_case_iphone/p_w_Invisible protection_03.jpg, /assets/images/projects/jame_technology__invisible_protection_case_iphone/p_w_Invisible protection_04.jpg, /assets/images/projects/jame_technology__invisible_protection_case_iphone/p_w_Invisible protection_05.jpg]"
Transforming Folio Case for iPhone,active,jame_technology__morphing_iphone_case_stand,project,Jame Technology,2018,"Consumer goods, mobile accessories",Fashion-inspired innovative iPhone case featuring a folio cover that transforms into a phone stand.,Many cases on the market with stand functionality are composed of multiple parts and tend to be bulky. The goal was to design an innovative iPhone case that seamlessly blends fashion and functionality.,"This case is inspired by the charm and mobility of Issey Miyake's Bao Bao bags. The innovative cover design has built-in magnets that connect together to create the stand, and the user can deploy it with a simple grip gesture. The stand is available when needed and disappears when not in use.","[design research, ideation, innovation, user-centered design, prototyping, 3D CAD modeling, surfacing, photorealistic rendering, color, material, finish selection (CMF), design presentation]",,,http://www.jamepda.com,/assets/images/projects/jame_technology__morphing_iphone _case_stand/h_w_CaseStarburst.gif,"[/assets/images/projects/jame_technology__morphing_iphone _case_stand/p_w_CaseStarburst_01.jpg, /assets/images/projects/jame_technology__morphing_iphone _case_stand/p_w_CaseStarburst_02.jpg, /assets/images/projects/jame_technology__morphing_iphone _case_stand/p_w_CaseStarburst_03.jpg]"
Wireless Pager for Washer and Dryer,active,kingston_corporation__wireless_pager,project,Kingston Corporation,,,A wireless pager to alert a user when the washer or dryer load is complete.,"Kingston Corporation needed a design for the remote pagers for GE washers and dryers that highlighted their brand elements with a fresh, clean look.",Pagers soft shapes make it pleasant to carry around. The visual elements of the old washers and he glowing light bring together aesthetics of past and future.,"[ideation, prototyping, 3D CAD]",,,,/assets/images/projects/kingston_corporation__wireless pager/h_w_Wireless Pager for Washer and Dryer.jpg,"[/assets/images/projects/kingston_corporation__wireless pager/p_w_Wireless Pager for Washer and Dryer_01.jpg, /assets/images/projects/kingston_corporation__wireless pager/p_w_Wireless Pager for Washer and Dryer_02.jpg]"
Smart Desk Model C,active,live_copper__smart_desk_model_C,project,Livecopper,2021,"Consumer electronics, smart home","The Smart Desk Model C is a desk accessory consolidating all laptop connections into one plug, while optimizing your workstation for conference calls, voice commands, environment monitoring and other user-enabled functions.","Livecopper, a startup aspiring to lead the market for smart desk accessories, approached Keydesign to design their first-generation products with a clear vision of future growth, keeping costs and functionality in balance. The first product, Smart Desk Model C needed to spearhead the brand as an innovative and hacker-friendly smart accessory.","Livecopper’s target audience consists of Apple product users who are also hackers/gamers. These two worlds had to be integrated into Livecopper’s visual identity. The result is a clean design, composed of aluminum and glass, that features a glowing light, embodying the rebellious spark of independence that represents the hacker ethos. These first-generation products required a well-defined vision and direction, along with an understanding of achieving that vision without breaking the budget, so that Livecopper can bring its products to market and succeed in their long term growth plans.","[design research, ideation, branding and identity, user-centered design, prototyping, 3D CAD modeling, design for manufacturing (DFM), photorealistic rendering, color, material, finish selection (CMF), design documentation (tech pack), collaboration with engineers and developers, manufacturing support]",,,https://livecopper.com/smart-desk-summary/,/assets/images/projects/live_copper__smart_desk_model_C/h_w_Smart desk Model C.jpg,"[/assets/images/projects/live_copper__smart_desk_model_C/p_w_Smart desk Model C_01.jpg, /assets/images/projects/live_copper__smart_desk_model_C/p_w_Smart desk Model C_02.jpg, /assets/images/projects/live_copper__smart_desk_model_C/p_w_Smart desk Model C_03.jpg, /assets/images/projects/live_copper__smart_desk_model_C/p_w_Smart desk Model C_04.jpg, /assets/images/projects/live_copper__smart_desk_model_C/p_w_Smart desk Model C_05.jpg]"
"Smart Desk Subwoofer, Model C Bass",active,live_copper__smart_desk_woofer,project,Livecopper,2022,"Consumer electronics, smart home","The Model C Bass subwoofer is a 150 Watt high-end woofer with customizable mid-range and bass, designed for home office use.","Livecopper, a startup aspiring to lead the market for smart desk accessories, approached Keydesign to design their first-generation products with a clear vision of future growth, keeping costs and functionality in balance. The Model C Bass subwoofer should offer premium sound in a form that fits the overall brand identity.","Model C bass subwoofer is engineered to deliver exceptional and customizable sound, while also allowing for easy assembly (DFA) to achieve a clean and brand-aligned visual design. The deep woofer sound bounces off the foot’s convex surface, dispersing throughout the entire room.","[design research, ideation, branding and identity, user-centered design, prototyping, 3D CAD modeling, design for manufacturing (DFM), design for assembly (DFA), photorealistic rendering, color, material, finish selection (CMF), design documentation (tech pack), collaboration with engineers and developers, manufacturing support]",,,https://livecopper.com/smart-desk-summary/,/assets/images/projects/live_copper__smart_desk_woofer/h_w_Smart desk woofer.jpg,"[/assets/images/projects/live_copper__smart_desk_woofer/p_w_Smart desk woofer_01.jpg, /assets/images/projects/live_copper__smart_desk_woofer/p_w_Smart desk woofer_02.jpg, /assets/images/projects/live_copper__smart_desk_woofer/p_w_Smart desk woofer_03.jpg, /assets/images/projects/live_copper__smart_desk_woofer/p_w_Smart desk woofer_04.jpg, /assets/images/projects/live_copper__smart_desk_woofer/p_w_Smart desk woofer_05.jpg]"
Fresh-air Thermostat,active,natures_cooling_solutions__eco_thermostat,project,Nature’s Cooling Solutions,2014,"Consumer electronics, smart home","A digital thermostat for a new fresh-air home air conditioning system that features a unique visual indicator showing the functional state: heat (red), cool (blue), or outside fresh air (green).",Nature's Cooling Solutions wanted a thermostat design to showcase their new fresh-air air conditioning technology.,"We used a clean and minimalistic design for the thermostat to integrate well into diverse households. To celebrate the unique fresh-air intake capability of our client's eco-thermostat, we used color as a metaphor to visually inform the user of the device status.","[design research, ideation, user-centered design, 3D CAD modeling, color, material, finish selection (CMF), design documentation (tech pack)]",,,https://naturescoolingsolutions.com/,/assets/images/projects/natures_cooling_solutions__eco_thermostat/h_w_NaturesCooling.gif,"[/assets/images/projects/natures_cooling_solutions__eco_thermostat/p_w_NaturesCooling01.jpg, /assets/images/projects/natures_cooling_solutions__eco_thermostat/p_w_NaturesCooling02.jpg, /assets/images/projects/natures_cooling_solutions__eco_thermostat/p_w_NaturesCooling03.jpg]"
"Accurate, Easy-to-use and Germ-free Universal Dispenser for Infant Formula",active,neotop__formula_dispenser,project,Neotop,2013,"Children's products, infant feeding","Formula dispenser that accurately pre-measures and dispenses one scoop of formula at a time, while safeguarding the remaining formula from outside germs.",A neonatology doctor approached us with the idea for a formula dispenser that would eliminate many common issues of exposing the formula to germs. Lack of hygiene is the biggest reason for formula-related mortality in third world countries.,"This dispenser accurately dispenses one measure of formula at a time, eliminating the need for a scoop and reducing formula exposure to environmental germs. Through extensive research of the baby formula market and other dispenser-related industries, we developed multiple variations and models, resulting in an innovative, accurate, understandable, and intuitive dispenser.","[design research, ideation, user-centered design, prototyping, ergonomics, 3D CAD modeling, design documentation (tech pack), collaboration with engineers and developers]",A winner of the 2016 National Parenting Products Awards. https://www.nappaawards.com/product/neotop-baby-formula-dispenser-by-capsforall/,,https://www.facebook.com/NeoTopDispenser/,/assets/images/projects/neotop__formula_dispenser/h_w_NeoTop.jpg,"[/assets/images/projects/neotop__formula_dispenser/p_w_NeoTop_01.jpg, /assets/images/projects/neotop__formula_dispenser/p_w_NeoTop_02.jpg, /assets/images/projects/neotop__formula_dispenser/p_w_NeoTop_03.jpg]"
Customizable Backpack and Handbag,active,optari__backpack_handbag,project,Optari,2006,Fashion accessories,Customizable backpack and handbag: playful and eye-catching back-to-school accessories.,"After achieving significant market success with our design of the Sol Tote, Optari requested us to create several more products for their brand.","An EVA front panel transforms a classic backpack into a canvas for customizable play. The small, purse-size crossover is a form factor that allows for playful fashion every day.","[ideation, user-centered design, brand growth, 3D CAD modeling, color, material, finish selection (CMF), design documentation (tech pack)]",,,https://www.instagram.com/optari/,/assets/images/projects/optari__backpack_handbag/h_w_Optari backpack_.jpg,"[/assets/images/projects/optari__backpack_handbag/p_w_Optari backpack_01.jpg, /assets/images/projects/optari__backpack_handbag/p_w_Optari backpack_02.jpg, /assets/images/projects/optari__backpack_handbag/p_w_Optari backpack_03.jpg]"
Fashion Handbags for Youth,active,optari__sol_tote,project,Optari,2005,Fashion accessories,Sol Tote Bag is a fun and functional fashion accessory designed for everyday use.,"Optari asked us to create a tote bag inspired by the popular Crocs shoes, intended as a trendy fashion accessory for girls and young women.","The design is visually bold and attention-grabbing, as these bags are intended to make a strong fashion statement. The holes for charms allows for even more expressive and personalized statements of individualized style. The nature of the EVA material makes it brightly colored, durable, waterproof and easy to keep clean - an ideal bag to take wherever life takes you.","[ideation, user-centered design, 3D CAD modeling, color, material, finish selection (CMF), design documentation (tech pack)]",,"[""Croc Handbags Are A ‘Shoe’-In For 2019’s Weirdest Fashion Trend."" - Joyscribe, ""This season's must have fashion accessory...""]",https://www.instagram.com/optari/,/assets/images/projects/optari__sol_tote/h_w_Optari.jpg,"[/assets/images/projects/optari__sol_tote/p_w_Optari_01.jpg, /assets/images/projects/optari__sol_tote/p_w_Optari_02.jpg, /assets/images/projects/optari__sol_tote/p_w_Optari_03.jpg]"
Grab-and-go Carrying Cases,active,osmo__storage_case,project,Osmo from Byju,2020,Soft-goods,"Carrying cases, a convenient storage solution for iPad and Osmo games.","The client requested case designs that would effectively organize and secure all Osmo game parts, ensuring easy accessibility and preventing them from getting lost in a playroom.","These age-appropriate, kid-friendly case designs are both versatile and specific, providing efficient organization and storage for Osmo games and all their parts. The internal structure is designed to allow younger children to just “dump” the parts in, while offering older children the ability to nicely sort the pieces.","[design research, ideation, user-centered design, 3D CAD modeling]",,,“https://www.playosmo.com/en/shopping/accessories/osmo-large-carrying-case/”,/assets/images/projects/osmo__storage_case/h_w_Osmo.jpg,"[/assets/images/projects/osmo__storage_case/p_w_Osmo_01.jpg, /assets/images/projects/osmo__storage_case/p_w_Osmo_02.jpg, /assets/images/projects/osmo__storage_case/p_w_Osmo_03 .jpg]"
Level Wallet Case for iPhone,active,patchworks__wallet_case_iphone,project,Patchworks,2018,"Consumer electronics, mobile accessories",An innovative wallet case made using only two parts.,"Patchworks sought a patentable wallet case design that would securely hold one, two or three credit cards using minimal manufacturing.","We designed an innovative solution by utilizing the material properties for their best functional use. The case comprises two parts: a sturdy PC outer shell and a flexible TPU inner wrap. The TPU bumps designed into the back can flex to a flat position when cards are inserted, and return to their original form when cards are removed. The bumps flex slightly more with each additional card inserted. This unique bump mechanism securely holds one, two, or three cards without the risk of any falling out. The case has everything it needs and nothing more: a win-win product both for the customer and the manufacturer.","[design research, ideation, innovation, user-centered design, prototyping, branding consistency, 3D CAD modeling, surfacing, design documentation (tech pack), collaboration with engineers and developers, manufacturing support]",,,https://patchworks.us/products/iphone-se-2020-level-wallet?_pos=3&_sid=22835f7e4&_ss=r,/assets/images/projects/patchworks__wallet_case_iphone/h_w_Wallet Case.jpg,"[/assets/images/projects/patchworks__wallet_case_iphone/p_w_Wallet Case_01.jpg, /assets/images/projects/patchworks__wallet_case_iphone/p_w_Wallet Case_02.jpg, /assets/images/projects/patchworks__wallet_case_iphone/p_w_Wallet Case_03.jpg]"
Redesigning and Crafting Collection of iPhone Cases with a Unified Visual Language,active,puregear__iphone_case,project,PureGear,2018,"Consumer electronics, mobile accessories",Enriching the company's product line by creating a diverse range of cases with a cohesive visual language.,"PureGear wanted to expand their product offerings to a range of cases with a unified design language, allowing for a broader market appeal.","We built upon the company's initial design style to create a diverse range of cases. Infusing fresh ideas and employing various material combinations, we ensured a cohesive visual language throughout the products. The result was a collection of cases, all bound together by a shared design essence.","[design research, branding and identity, ideation, 3D CAD modeling, surfacing, design presentation, color, material, finish selection (CMF), design documentation (tech pack)]",,,https://www.pure-gear.com/,/assets/images/projects/puregear__iphone_case/h_w_Puregear.jpg,"[/assets/images/projects/puregear__iphone_case/p_w_Puregear_01.jpg, /assets/images/projects/puregear__iphone_case/p_w_Puregear_02.jpg, /assets/images/projects/puregear__iphone_case/p_w_Puregear_03.jpg, /assets/images/projects/puregear__iphone_case/p_w_Puregear_04.jpg, /assets/images/projects/puregear__iphone_case/p_w_Puregear_05 .jpg]"
Sleep Apnea Monitor,active,somnarus__sleep_apnea_monitor,project,Somnarus,2016,"Medical devices, wearable technology",A single-use sleep apnea monitor designed to track user sleep data and store it on an memory card for physician analysis and evaluation.,"Somnarus, a medical startup, required a design for their sleep apnea wearable that would meet end-user expectations for comfort and ease-of-use. Additionally, it needed to be user-friendly for doctors and reasonably priced for manufacturing.","With the goal of one-size-fits-all usage, we started our design discovery work by building functional prototypes to test on clay models and human subjects. Through numerous iterations, we developed a range of different shapes and tested them with various adhesives on multiple face topologies. This process allowed us to discover a universal shape that provides comfortable fit for all users. The monitor is used in two ways: first by the patient at home and then by the doctor. Every element of the form has a functional or instructional reason to clearly communicate how to use it the right way. For example, the landscape orientation with small ridges on both sides informs the patient where to hold the module with both hands when attaching it on the forehead. These same markings are the guideline for the doctor to know where to cut open the module to access the internal SD card with the collected data, without damaging it during the cut.","[design research, ideation, innovation, ergonomics, user-centered design, prototyping, product testing, 3D CAD modeling, photorealistic rendering, design presentation]",,,,/assets/images/projects/somnarus__sleep_apnea_monitor/h_w_Somnarus.jpg,"[/assets/images/projects/somnarus__sleep_apnea_monitor/p_w_Somnarus_01.jpg, /assets/images/projects/somnarus__sleep_apnea_monitor/p_w_Somnarus_02.jpg, /assets/images/projects/somnarus__sleep_apnea_monitor/p_w_Somnarus_03.jpg]"
